kof97.zip|KOF 97|拳皇97
kof98.zip|KOF 98|拳皇98
kof99.zip|KOF 99|拳皇99
kf2k2mp2.zip|KOF 2002 Magic 2|拳皇2002魔幻2
kf2k2plc.zip|KOF 2002 Super|拳皇2002 Supper
kf2k2pls.zip|KOF 2002 situation|拳皇2002风云
kf2k2pla.zip|KOF 2002 Plus|拳皇2002风云Plus
kf2k2mp.zip|KOF 2002 Magic|拳皇2002魔幻
kof2k4se.zip|KOF 2004|拳皇2004
kof94.zip|KOF 94|拳皇94
kof95.zip|KOF 95|拳皇95
kof96.zip|KOF 96th Anniversary Edition|拳皇96周年纪念版
kof96ae.zip|KOF 10th Anniversary Edition|拳皇96十周年纪念版
kof97cn.zip|KOF 97 ultimate battle|拳皇97终极之战
kof97xt.zip|KOF 97 situation|拳皇97风云
kof97pls.zip|KOF 97 strengthens|拳皇97加强
kof99p.zip|KOF special edition|拳皇十周年特别版
kof2001.zip|TheKingofFighters2001(NGM-262?)|拳皇2001
kof2002.zip|TheKingofFighters2002(NGM-2650)|拳皇2002
kof2003.zip|TheKingofFighters2003(NGM-2710)|拳皇2003
orlegend.zip|OrientalLegend-XiYoGiShiReZuang(V126)|西游释厄传
olds100.zip|OrientalLegendSpecial-XiYoGiShiReZuangSuper|西游释厄传超级版
oldsplus.zip|oldsplus|西游释厄传-群魔乱舞
mvsca.zip|MarvelvsCapcom-clashofsuperheroes|漫威对卡普空-超级英雄的冲突
mslug.zip|MetalSlug-SuperVehicle-001|合金弹头
mslug2.zip|MetalSlug2-SuperVehicle-001/II|合金弹头2
mslug3.zip|MetalSlug3(NGM-2560)|合金弹头3
mslug4.zip|MetalSlug4(NGM-2630)|合金弹头4
mslug5.zip|MetalSlug5(NGM-2680)|合金弹头5
mslugx.zip|MetalSlugX-SuperVehicle-001|合金弹头X
megamana.zip|MegaMan-thepowerbattle|洛克人-力量之战
loderndf.zip|LodeRunner-TheDigFight(ver.B)|淘金者-挖掘战斗
lastsold.zip|TheLastSoldier(KoreanreleaseofTheLastBlade)|最后的战士
kov.zip|KnightsofValour-SangokuSenki(V117)|三国战纪
kov2.zip|kov2|三国战纪2
kov2p.zip|kov2p|三国战纪2PLUS
martmastc.zip|martmastc|形意拳
kingdmgp.zip|KingdomGrandprix(World)|王国赛车大奖赛
killbld.zip|TheKillingBlade(V109-China)|傲剑狂刀
jpopnics.zip|JumpingPop(Nics-KoreanbootlegofPlumpPop)|跳跃弹击
guwange.zip|Guwange(Japan-MasterVer.99/06/24)|狱门山物语
gunnail.zip|GunNail(28thMay.1992)|炮钉
gunbird.zip|Gunbird(World)|武装飞鸟
grdnstrm.zip|GuardianStorm(horizontal-notencrypted)|守护风暴
gmahou.zip|GreatMahouDaisakusen(000121Japan)|超级魔法大作战
gigawinga.zip|GigaWing(990222Asia)|雷鸟之翼
garou.zip|Garou-MarkoftheWolves(NGM-2530)|饿狼传说-狼之烙印
fatfursp.zip|FatalFurySpecial/GarouDensetsuSpecial(set1)(NG|饿狼传说特别版
fatfury1.zip|FatalFury-KingofFighters/GarouDensetsu-shuku|饿狼传说-宿命之战
fatfury2.zip|FatalFury2/GarouDensetsu2-arata-narutatakai(|饿狼传说2-新的战斗
fatfury3a.zip|FatalFury3-RoadtotheFinalVictory/GarouDense|饿狼传说3-通向最终胜利之路
dino.zip|Cadillacs&Dinosaurs(930201etc)|恐龙快打
esprade.zip|ESPRa.De.-A.D.2018Tokyo(International-ver.98/04|长空超少年
armwara.zip|ArmoredWarriors(941024Asia)|机甲勇士
captcomm.zip|CaptainCommando(911202othercountry)|名将
batcir.zip|BattleCircuit|战斗回路
baryon.zip|Baryon-FutureAssault(set1)|重子战机
avspa.zip|AlienvsPredator|异形对铁血战士
plegends.zip|GouketsujiGaidenLegends(USA-ver.95/06/20)|豪血寺外传-最强传说
msword.zip|MagicSword-heroicfantasy(25.07.1990othercountry|魔法剑-英雄的幻想
martmastc.zip|MartialMasters(V104-102-101-China)|形意拳
shocktro.zip|ShockTroopers(set1)|突击骑兵
shocktr2.zip|ShockTroopers-2ndSquad|突击骑兵-第二分队
aof.zip|ArtofFighting/RyuukonoKen(NGM-044)(NGH-044)|龙虎之拳(NGM-044)(NGH-044)
aof2.zip|ArtofFighting2/RyuukonoKen2(NGM-056)|龙虎之拳2(NGM-056)
aof3.zip|ArtofFighting3-ThePathoftheWarrior/ArtofF|龙虎之拳3-斗士之路
ffight.zip|FinalFight(World-set1)|快打旋风(世界版-第1套)
ffighta.zip|FinalFight(World-set2)|快打旋风(世界版-第2套)
ffightbl.zip|FinalFight(bootlegset1(with2xYM2203+2xMSM5205)|快打旋风(A版第1套(含2xYM2203+2xMSM5205)-世界版)
ffightbla.zip|FinalFight(bootlegset2(with2xYM2203+2xMSM5205)|快打旋风(A版第2套(含2xYM2203+2xMSM5205)-世界版)
ffightj.zip|FinalFight(Japan)|快打旋风(日版)
ffightj1.zip|FinalFight(900112Japan)|快打旋风(900112日版)
ffightj2.zip|FinalFight(900305Japan)|快打旋风(900305日版)
ffightjh.zip|StreetSmart/FinalFight(Japan-hack)|快打旋风(日版-修改版)
ffightu.zip|FinalFight(USA-set1)|快打旋风(美版-第1套)
ffightu1.zip|FinalFight(USA-set2)|快打旋风(美版-第2套)
ffightu2.zip|FinalFight(USA-set3)|快打旋风(美版-第3套)
ffightua.zip|FinalFight(900112USA)|快打旋风(900112美版)
ffightub.zip|FinalFight(900424USA)|快打旋风(900424美版)
ffightuc.zip|FinalFight(900613USA)|快打旋风(900613美版)
1941.zip|1941-CounterAttack(900227World)|1941-反击战
1941j.zip|1941-CounterAttack(Japan)|1941-反击战(日版)
1941r1.zip|1941-CounterAttack(World)|1941-反击战(世界版)
1941u.zip|1941-CounterAttack(900227USA)|1941-反击战(900227美版)
1942.zip|1942(RevisionB)|1942-空中大战(C64音乐版)
1942a.zip|1942(RevisionA)|1942-空中大战(修正版A)
1942abl.zip|1942(RevisionA-bootleg)|1942-空中大战(修正版A-A版)
1942b.zip|1942(FirstVersion)|1942-空中大战(第一版)
1942c64.zip|1942(C64Music)|1942-空中大战(C64音乐版)
1942h.zip|Supercharger1942|增压版1942
1942w.zip|1942(WilliamsElectronicslicense)|1942-空中大战(WilliamsElectronics授权)
1943.zip|1943:TheBattleofMidway(Euro)|1943改
1943b2.zip|1943:TheBattleofMidway(bootlegset2-hackofJap|1943-中途岛海战(A版第2套-日版修改版)
1943bj.zip|1943:MidwayKaisen(bootleg)|1943-中途岛海战(A版)
1943j.zip|1943:MidwayKaisen(Japan-RevB)|1943-中途岛海战(日版-修正版B)
1943ja.zip|1943:MidwayKaisen(Japan)|1943-中途岛海战(日版)
1943kai.zip|1943Kai:MidwayKaisen(Japan)|1943改-中途岛海战(日版)
1943mii.zip|1943:TheBattleofMidwayMarkII(US)|1943-中途岛海战标记版II(美版)
1943u.zip|1943:TheBattleofMidway(US-RevC)|1943-中途岛海战(美版-修正版C)
1943ua.zip|1943:TheBattleofMidway(US)|1943-中途岛海战(美版)
1944.zip|1944-theloopmaster(000620USA)|1944-征服世界(000620日版)
1944ad.zip|1944-theloopmaster(000620USAPhoenixEdition-al|1944-征服世界(000620美版凤凰版-替换版)
1944d.zip|1944-theloopmaster(000620USAPhoenixEdition)|1944-征服世界(000620美版凤凰版)
1944j.zip|1944-theloopmaster(000620Japan)|1944-征服世界(000620日版)
1945kiii.zip|1945kIII(newer-OPCX2PCB)|1945kIII(较新版-OPCX2机板)
1945kiiin.zip|1945kIII(newer-OPCX1PCB)|1945kIII(较新版-OPCX1机板)
1945kiiio.zip|1945kIII(older-OPCX1PCB)|1945kIII(较旧版-OPCX1机板)
19xx.zip|19XX-thewaragainstdestiny(951207USA)|19XX-命运否决战(951207美版)
19xxa.zip|19XX-thewaragainstdestiny(960104Asia)|19XX-命运否决战(960104亚洲版)
19xxar1.zip|19XX-thewaragainstdestiny(951207Asia)|19XX-命运否决战(951207亚洲版)
19xxb.zip|19XX-thewaragainstdestiny(951218Brazil)|19XX-命运否决战(951218巴西版)
19xxd.zip|19XX-thewaragainstdestiny(951207USAPhoenixEdi|19XX-命运否决战(951207美版)
19xxh.zip|19XX-thewaragainstdestiny(951218Hispanic)|19XX-命运否决战(951218西班牙版)
19xxj.zip|19XX-thewaragainstdestiny(960104Japan-yellowc|19XX-命运否决战(960104日版-黄色外壳)
19xxjr1.zip|19XX-thewaragainstdestiny(951225Japan)|19XX-命运否决战(951225日版)
19xxjr2.zip|19XX-thewaragainstdestiny(951207Japan)|19XX-命运否决战(951207日版)
2020bb.zip|2020SuperBaseball(set1)|2020超级棒球(第1套)
2020bba.zip|2020SuperBaseball(set2)|2020超级棒球(第2套)
2020bbh.zip|2020SuperBaseball(set3)|2020超级棒球(第3套)
20pacgal.zip|Ms.Pac-Man/Galaga-20thAnniversaryClassof1981Re|吃豆女精灵/大蜜蜂-1981年二十周年经典重聚版(V1.08)
20pacgalr0.zip|Ms.Pac-Man/Galaga-20thAnniversaryClassof1981Re|吃豆女精灵/大蜜蜂-1981年二十周年经典重聚版(V1.00)
20pacgalr1.zip|Ms.Pac-Man/Galaga-20thAnniversaryClassof1981Re|吃豆女精灵/大蜜蜂-1981年二十周年经典重聚版(V1.01)
20pacgalr2.zip|Ms.Pac-Man/Galaga-20thAnniversaryClassof1981Re|吃豆女精灵/大蜜蜂-1981年二十周年经典重聚版(V1.02)
20pacgalr3.zip|Ms.Pac-Man/Galaga-20thAnniversaryClassof1981Re|吃豆女精灵/大蜜蜂-1981年二十周年经典重聚版(V1.03)
20pacgalr4.zip|Ms.Pac-Man/Galaga-20thAnniversaryClassof1981Re|吃豆女精灵/大蜜蜂-1981年二十周年经典重聚版(V1.04)
3countb.zip|3CountBout/FireSuplex(NGM-043)(NGH-043)|三回合较量/火线摔角(NGM-043)(NGH-043)
3countba.zip|3CountBout/FireSuplex(NGM-043)|三回合较量/火线摔角(NGM-043)
3in1semi.zip|XESS-TheNewRevolution(SemiCom3-in-1)|XESS-新的革命(SemiCom3合1)
3kokushi.zip|Sankokushi(Japan)|三刻志(日版)
3wonders.zip|ThreeWonders(wonder3910520etc)|三个奇迹(奇迹3910520世界版)
3wondersb.zip|ThreeWonders(bootlegset2-wonder3910520etc)|三个奇迹(A版第2套-奇迹3910520世界版)
3wondersh.zip|ThreeWonders(bootlegset1-wonder3910520etc)|三个奇迹(A版第1套-奇迹3910520世界版)
3wondersr1.zip|ThreeWonders(wonder3910513etc)|三个奇迹(奇迹3910513世界版)
3wondersu.zip|ThreeWonders(wonder3910520USA)|三个奇迹(奇迹3910520美版)
4dwarrio.zip|4-DWarriors(315-5162)|4-D勇士(315-5162)
4enraya.zip|4EnRaya(set1)|四连线(第1套)
4enrayaa.zip|4EnRaya(set2)|四连线(第2套)
4in1.zip|4Funin1|欢乐四合一
4in1boot.zip|PuzzleKing|益智王
600.zip|600|乌龟冒险600
64street.zip|64th.Street-ADetectiveStory(World)|64街-一个侦探的故事(世界版)
64streetj.zip|64th.Street-ADetectiveStory(Japan-set1)|64街-一个侦探的故事(日版-第1套)
