Mario Is Missing! (USA).zip|Mario Is Missing|马里奥失踪记
Super Mario Bros 2.zip|Super Mario Bros 2|超级玛丽2
Super Mario Bros 3.zip|Super Mario Bros 3|超级玛丽3
Super Mario 14.zip|Super Mario 14|超级玛丽14
Three Eyed Boy.zip|Three Eyed Boy|三目童子
Super Mary.zip|Super Mary|超级玛丽
Dr. Mario (Chinese).zip|Dr. Mario (Chinese)|马里奥医生
90 Tank.zip|90 Tank|90坦克
Knock ice cubes.zip|Knock ice cubes|敲冰块
Adventure Island 4 (Chinese version).zip|Adventure Island 4 (Chinese version)|冒险岛4
Adventure Island 4.zip|Adventure Island 4|冒险岛4
Contra - Super Battle Soul.zip|Contra - Super Battle Soul|超级魂斗罗
Interstellar Contra.zip|Interstellar Contra|星际魂斗罗
Contra -30 life S gun.zip|Contra -30 life S gun|魂斗罗30条命
Contra - Power.zip|Contra - Power|魂斗罗
Air Contra.zip|Air Contra|空中魂斗罗
Adventure Island Invincible Edition (HACK).zip|Adventure Island Invincible Edition (HACK)|冒险岛无敌版
Adventure Island 2 (Chinese version).zip|Adventure Island 2 (Chinese version)|冒险岛2
Hudson's Adventure Island II.zip|Hudson's Adventure Island II|高桥名人只冒险岛2
Adventure Island 3 (Chinese version).zip|Adventure Island 3 (Chinese version)|冒险岛3
Teenage Mutant Hero Turtles - Tournament Fighters (Europe).zip|Teenage Mutant Hero Turtles - Tournament Fighters (Europe)|忍者英雄龟-比武大会
Teenage Mutant Ninja Turtles Mutant Warriors.zip|Teenage Mutant Ninja Turtles Mutant Warriors|忍者神龟变异战士
Teenage Mutant Ninja Turtles (USA).zip|Teenage Mutant Ninja Turtles (USA)|忍者神龟（美）
Mining _ Chinese version.zip|Mining _ Chinese version|采矿
Dajingang 3.zip|Dajingang 3|大金刚3
Ninja Dragon Sword biography.zip|Ninja Dragon Sword biography|忍者龙剑传:龙剑
Hard blood.zip|Hard blood|铁血
Castlevania.zip|Castlevania|恶魔城
Jackie Chan kicks the pavilion (Chinese version).zip|Jackie Chan kicks the pavilion (Chinese version)|成龙之龙
Castlevania 1.zip|Castlevania 1|恶魔城1
Jackie Chan Dragon (Chinese version).zip|Jackie Chan Dragon (Chinese version)|成龙之龙（中）
Macross [Chinese version].zip|Macross [Chinese version]|超时空要塞（汉）
Castlevania 3.zip|Castlevania 3|恶魔城3
Lin Ze Xu Jin Yan (China) (Unl).zip|Lin Ze Xu Jin Yan (China) (Unl)|虎门销烟
100 Man Dollar Kid - Maboroshi no Teiou Hen (Japan).zip|100 Man Dollar Kid - Maboroshi no Teiou Hen (Japan)|百万小子 - 幻之帝王篇（日版）
10-Yard Fight (Japan).zip|10-Yard Fight (Japan)|10码格斗(日版)
10-Yard Fight (Japan) (Rev 1).zip|10-Yard Fight (Japan) (Rev 1)|10码格斗（日版Rev1）
10-Yard Fight (USA- Europe).zip|10-Yard Fight (USA- Europe)|10码格斗（美、欧版）
16 channel truck.zip|16 channel truck|公路追击16
1942 (Japan- USA).zip|1942 (Japan- USA)|1942（日、美版）
1943 - The Battle of Midway (Japan) (Beta).zip|1943 - The Battle of Midway (Japan) (Beta)|1943（日版Beta）
1943 - The Battle of Midway (USA).zip|1943 - The Battle of Midway (USA)|1943（美版）
1943 - The Battle of Valhalla (Japan).zip|1943 - The Battle of Valhalla (Japan)|1943（日版）
1999 - Hore- Mitakotoka! Seikimatsu (Japan).zip|1999 - Hore- Mitakotoka! Seikimatsu (Japan)|1999强手棋（日版）
2010 - Street Fighter (Japan).zip|2010 - Street Fighter (Japan)|街头战士2010（日版）
3-D Block (Asia) (RCM Group) (Unl).zip|3-D Block (Asia) (RCM Group) (Unl)|3D 方块
3-D WorldRunner (USA).zip|3-D WorldRunner (USA)|3D-领跑者（美版）
4 Nin Uchi Mahjong (Japan).zip|4 Nin Uchi Mahjong (Japan)|四人麻雀
720 Degrees (USA).zip|720 Degrees (USA)|滑板720度(美版)
'89 Dennou Kyuusei Uranai (Japan).zip|'89 Dennou Kyuusei Uranai (Japan)|89电脑占星术（日版）
8 Eyes (Japan).zip|8 Eyes (Japan)|八只眼(日版)
8 Eyes (USA).zip|8 Eyes (USA)|八只眼(美版)
Aa Yakyuu Jinsei Icchokusen (Japan).zip|Aa Yakyuu Jinsei Icchokusen (Japan)|呜呼野球人生一直线（日版）
Abadox (Japan).zip|Abadox (Japan)|阿贝道X(日版)
Abadox - The Deadly Inner War (USA).zip|Abadox - The Deadly Inner War (USA)|阿贝道X(美版)
Abarenbou Tengu (Japan).zip|Abarenbou Tengu (Japan)|暴坊天狗（日版）
Abbe Road X.zip|Abbe Road X|阿贝道X绝对合体
Aces - Iron Eagle 3 (Japan).zip|Aces - Iron Eagle 3 (Japan)|铁鹰战士III-终极空战(日版)
Action 4 in 1.zip|Action 4 in 1|动作游戏4合1
Action 52 (USA) (Rev A) (Unl).zip|Action 52 (USA) (Rev A) (Unl)|动作游戏52合1(美A版)(非官方版)
Action 52 (USA) (Unl).zip|Action 52 (USA) (Unl)|动作游戏52合1(美版)
Action in New York (Europe).zip|Action in New York (Europe)|空中魂斗罗
Adan y Eva (Spain) (Gluk Video) (Unl).zip|Adan y Eva (Spain) (Gluk Video) (Unl)|亚当与夏娃
Addams Family- The (Europe) (En-Fr-De).zip|Addams Family- The (Europe) (En-Fr-De)|亚当斯一家
Addams Family- The - Pugsley's Scavenger Hunt (Europe) (Beta).zip|Addams Family- The - Pugsley's Scavenger Hunt (Europe) (Beta)|亚当斯一家:帕格斯利的寻宝（欧）
Addams Family- The - Pugsley's Scavenger Hunt (Europe).zip|Addams Family- The - Pugsley's Scavenger Hunt (Europe)|亚当斯一家:帕格斯利的寻宝（欧）
Addams Family- The - Pugsley's Scavenger Hunt (USA).zip|Addams Family- The - Pugsley's Scavenger Hunt (USA)|亚当斯一家:帕格斯利的寻宝（美）
Addams Family- The - Uncle Fester's Quest (USA) (Beta).zip|Addams Family- The - Uncle Fester's Quest (USA) (Beta)|亚当斯一家-法斯特叔叔的探索
Addams Family- The (USA).zip|Addams Family- The (USA)|亚当斯一家
Advanced Dungeons & Dragons - Dragons of Flame (Japan).zip|Advanced Dungeons & Dragons - Dragons of Flame (Japan)|龙与地下城:神龙之谜
Advanced Dungeons & Dragons - DragonStrike (USA).zip|Advanced Dungeons & Dragons - DragonStrike (USA)|龙与地下城:龙之击
Advanced Dungeons & Dragons - Heroes of the Lance (Japan).zip|Advanced Dungeons & Dragons - Heroes of the Lance (Japan)|龙与地下城:长枪英雄（日）
Advanced Dungeons & Dragons - Heroes of the Lance (USA) (Beta).zip|Advanced Dungeons & Dragons - Heroes of the Lance (USA) (Beta)|龙与地下城:长枪英雄（美）
Advanced Dungeons & Dragons - Heroes of the Lance (USA).zip|Advanced Dungeons & Dragons - Heroes of the Lance (USA)|龙与地下城:长枪英雄（美）
Advanced Dungeons & Dragons - Hillsfar (Japan).zip|Advanced Dungeons & Dragons - Hillsfar (Japan)|龙与地下城:幽城宝藏（日）
Advanced Dungeons & Dragons - Hillsfar (USA).zip|Advanced Dungeons & Dragons - Hillsfar (USA)|龙与地下城:幽城宝藏（美）
Advanced Dungeons & Dragons - Pool of Radiance (Japan).zip|Advanced Dungeons & Dragons - Pool of Radiance (Japan)|龙与地下城 光辉之池（日）
Advanced Dungeons & Dragons - Pool of Radiance (USA).zip|Advanced Dungeons & Dragons - Pool of Radiance (USA)|龙与地下城 光辉之池（美）
Adventure Island 3 (USA).zip|Adventure Island 3 (USA)|冒险岛3（美）
Adventure Island Classic (Europe).zip|Adventure Island Classic (Europe)|冒险岛
Adventure Island II (USA).zip|Adventure Island II (USA)|冒险岛2（美）
Adventure Island Part II- The (Europe).zip|Adventure Island Part II- The (Europe)|冒险岛2（欧）
Adventure kid Jack.zip|Adventure kid Jack|杰克冒险
Adventures in the Magic Kingdom (Europe).zip|Adventures in the Magic Kingdom (Europe)|迪士尼魔术王国（欧）
Adventures in the Magic Kingdom (USA) (Beta 1).zip|Adventures in the Magic Kingdom (USA) (Beta 1)|迪士尼魔术王国（美）
Adventures in the Magic Kingdom (USA) (Beta 2).zip|Adventures in the Magic Kingdom (USA) (Beta 2)|迪士尼魔术王国（美）
Adventures in the Magic Kingdom (USA).zip|Adventures in the Magic Kingdom (USA)|迪士尼魔术王国（美）
Adventures of Bayou Billy- The (Europe).zip|Adventures of Bayou Billy- The (Europe)|鳄鱼先生（欧）
Adventures of Bayou Billy- The (USA).zip|Adventures of Bayou Billy- The (USA)|鳄鱼先生（美）
Adventures of Dino Riki (USA).zip|Adventures of Dino Riki (USA)|新人类
Adventures of Dragon Cave 1.zip|Adventures of Dragon Cave 1|龙洞历险记
Adventures of Dr. Franken- The (USA) (Proto).zip|Adventures of Dr. Franken- The (USA) (Proto)|科学怪人的冒险
Adventures of Gilligan's Island- The (USA).zip|Adventures of Gilligan's Island- The (USA)|吉利根岛历险记
Adventures of Lolo 2 (Europe).zip|Adventures of Lolo 2 (Europe)|蛋王子大冒险2（欧）
Adventures of Lolo 2 (Japan).zip|Adventures of Lolo 2 (Japan)|蛋王子大冒险2（日）
Adventures of Lolo 2 (USA).zip|Adventures of Lolo 2 (USA)|蛋王子大冒险2（美）
Adventures of Lolo 3 (Europe).zip|Adventures of Lolo 3 (Europe)|蛋王子大冒险3（欧）
Adventures of Lolo 3 (USA).zip|Adventures of Lolo 3 (USA)|蛋王子大冒险3（美）
Adventures of Lolo (Europe).zip|Adventures of Lolo (Europe)|蛋王子大冒险（欧）
Adventures of Lolo (Japan).zip|Adventures of Lolo (Japan)|蛋王子大冒险（日）
Adventures of Lolo (USA).zip|Adventures of Lolo (USA)|蛋王子大冒险（美）
Adventures of Rad Gravity- The (Europe).zip|Adventures of Rad Gravity- The (Europe)|重力大冒险（欧）
Adventures of Rad Gravity- The (USA).zip|Adventures of Rad Gravity- The (USA)|重力大冒险（美）
Adventures of Rocky and Bullwinkle and Friends- The (USA).zip|Adventures of Rocky and Bullwinkle and Friends- The (USA)|松鼠与麋鹿的冒险
Adventures of Tom Sawyer (USA).zip|Adventures of Tom Sawyer (USA)|汤姆历险记
Adventure team.zip|Adventure team|冒险团队
After Burner (Japan).zip|After Burner (Japan)|冲破火网（日）
After Burner (USA) (Unl).zip|After Burner (USA) (Unl)|冲破火网（美）
Aigina no Yogen - Balubalouk no Densetsu Yori (Japan).zip|Aigina no Yogen - Balubalouk no Densetsu Yori (Japan)|巴鲁巴矿工传说
Airball (Unknown) (Proto 1).zip|Airball (Unknown) (Proto 1)|空球
Airball (Unknown) (Proto 2).zip|Airball (Unknown) (Proto 2)|空球
Air battle.zip|Air battle|空战
Air combat 1943 invincible version.zip|Air combat 1943 invincible version|空中战斗
Air Fortress (Europe).zip|Air Fortress (Europe)|空中要塞（欧）
Air Fortress (Japan).zip|Air Fortress (Japan)|空中要塞（日）
Air Fortress (USA).zip|Air Fortress (USA)|空中要塞（美）
Air hero.zip|Air hero|空中英雄
Airwolf (Europe).zip|Airwolf (Europe)|飞狼（欧）
Airwolf (Japan).zip|Airwolf (Japan)|飞狼（日）
Airwolf (USA).zip|Airwolf (USA)|飞狼（美）
Ai Sensei no Oshiete - Watashi no Hoshi (Japan).zip|Ai Sensei no Oshiete - Watashi no Hoshi (Japan)|爱先生?- 占卜之星
Akagawa Jirou no Yuurei Ressha (Japan).zip|Akagawa Jirou no Yuurei Ressha (Japan)|赤川次郎的幽灵列车
Akira (Japan).zip|Akira (Japan)|阿基拉
Akumajou Densetsu (Japan).zip|Akumajou Densetsu (Japan)|恶魔城 III - 德古拉的诅咒
Akumajou Dracula (Japan).zip|Akumajou Dracula (Japan)|恶魔城
Akumajou Special - Boku Dracula-kun (Japan).zip|Akumajou Special - Boku Dracula-kun (Japan)|恶魔城外传 - 少年德古拉君
Akuma-kun - Makai no Wana (Japan).zip|Akuma-kun - Makai no Wana (Japan)|恶魔君 - 魔界的圈套
Akuma no Shoutaijou (Japan).zip|Akuma no Shoutaijou (Japan)|恶魔招待状
Aladdin 3.zip|Aladdin 3|阿拉丁3
Aladdin (Chinese version).zip|Aladdin (Chinese version)|阿拉丁（中）
Aladdin (Europe).zip|Aladdin (Europe)|阿拉丁（欧）
Albatross 2 - The Last Challenge.zip|Albatross 2 - The Last Challenge|信天翁2-最后的挑战
Alfombra Magica- La (Spain) (Gluk Video) (Unl).zip|Alfombra Magica- La (Spain) (Gluk Video) (Unl)|魔法地毯 (西班牙版)(非官方版)
Alfred Chicken (Europe).zip|Alfred Chicken (Europe)|神鸡艾烈弗（欧）
Alfred Chicken.zip|Alfred Chicken|神鸡艾烈弗
Alfred Chicken (USA).zip|Alfred Chicken (USA)|神鸡艾烈弗（中）
Alien 3 (Europe).zip|Alien 3 (Europe)|异形3（欧）
