Island adventure.zip|Island adventure|冒险岛
Mountain Island Adventure.zip|Mountain Island Adventure|冒险岛 山岛冒险
Contra Iron Corps.zip|Contra Iron Corps|魂斗罗铁血兵团
Flying bat 2.zip|Flying bat 2|飞翔蝙蝠2
Destruction of the army's alien war.zip|Destruction of the army's alien war|毁灭部队之异型战争
Destroyer.zip|Destroyer|毁灭战士
karate.zip|karate|空手道
The descendant of the dragon - the legend of Bruce Lee.zip|The descendant of the dragon - the legend of Bruce Lee|龙的传人-李小龙传说
Devil buster.zip|Devil buster|魔鬼克星
Cat and Mouse (Simpson Edition).zip|Cat and Mouse (Simpson Edition)|猫和老鼠(辛普森版)
Magic bubble.zip|Magic bubble|魔法气泡
Magic bubble 2.zip|Magic bubble 2|魔法气泡2
Magic bubble rumor.zip|Magic bubble rumor|魔法气泡外传
Death Pinball MD.zip|Death Pinball MD|死亡弹珠台MD
Winged warrior.zip|Winged warrior|翼人战士
Deadly killer 1.zip|Deadly killer 1|致命杀手1
Deadly killer 2.zip|Deadly killer 2|致命杀手2
92 Barcelona Olympics.zip|92 Barcelona Olympics|92巴塞罗那奥运会
96 Atlanta Summer Olympics.zip|96 Atlanta Summer Olympics|96亚特兰大夏季奥运
BB bird and big wolf.zip|BB bird and big wolf|BB鸟与大野狼
DJ boy.zip|DJ boy|DJ男孩
EL Weiente.zip|EL Weiente|EL维恩特
EX-heterogeneous.zip|EX-heterogeneous|EX-异种
EX Bird Fighter.zip|EX Bird Fighter|EX鸟人战机
F15 Falcon Action.zip|F15 Falcon Action|F15猎鹰行动
F1 World Championship.zip|F1 World Championship|F1世界锦标赛
F1 racing car.zip|F1 racing car|F1赛车
FIFA Football 96.zip|FIFA Football 96|FIFA足球96
FIFA Football 97 Gold Edition.zip|FIFA Football 97 Gold Edition|FIFA足球97黄金版
JUJU legend - violently thunderous.zip|JUJU legend - violently thunderous|JUJU传说-暴跳如雷
NBA Bull Vs Lakers.zip|NBA Bull Vs Lakers|NBA公牛Vs湖人
NBA Basketball 98.zip|NBA Basketball 98|NBA篮球98
NHL Hockey 94.zip|NHL Hockey 94|NHL曲棍球94
Q version super power beautiful girl.zip|Q version super power beautiful girl|Q版超能力美少女
Tecmo Super Cricket.zip|Tecmo Super Cricket|Tecmo超级板球
Tecmo Super Cricket Final 3.zip|Tecmo Super Cricket Final 3|Tecmo超级板球最终版3
The Adventures of Tintin.zip|The Adventures of Tintin|丁丁历险记
Dragon Ball - Dance Tour.zip|Dragon Ball - Dance Tour|七龙珠-舞游列传
Sega five strong one.zip|Sega five strong one|世嘉五强合一
World hero.zip|World hero|世界英雄
Two fools.zip|Two fools|两个傻瓜
theme park.zip|theme park|主题公园
Corporate organization.zip|Corporate organization|企业联合组织
Bright power 2.zip|Bright power 2|光明力量2
Cut throat.zip|Cut throat|割喉岛
Garfield.zip|Garfield|加菲猫
Action 52 in 1.zip|Action 52 in 1|动作52合1
Action NBA.zip|Action NBA|动作NBA
Animal fast.zip|Animal fast|动物快打
Snoopy Haunted House Adventure.zip|Snoopy Haunted House Adventure|史诺比鬼屋历险
Nightmare circus.zip|Nightmare circus|噩梦马戏团
Alien double stupid 2.zip|Alien double stupid 2|外星双傻2
Alien prince.zip|Alien prince|外星王子
Big boy.zip|Big boy|大头小子
Tecmore Football World Cup 93.zip|Tecmore Football World Cup 93|特克摩足球世界杯93
Bunny Rabbit - Crisis.zip|Bunny Rabbit - Crisis|宾尼兔-危机重重
Little Witch Coton.zip|Little Witch Coton|小魔女科顿
Cui Di and Big Stupid Cat.zip|Cui Di and Big Stupid Cat|崔弟与大笨猫
Phantom 2040.zip|Phantom 2040|幻影2040
ghost.zip|ghost|幽灵
Pinball.zip|Pinball|弹球
Ninja kill threesome.zip|Ninja kill threesome|忍杀三人组
Outdoor Big Car - Arcade Edition.zip|Outdoor Big Car - Arcade Edition|户外大飙车-街机版
Broadcasting beach sumo.zip|Broadcasting beach sumo|播磨滩相扑
Lemming Story 2.zip|Lemming Story 2|旅鼠总动员2
Time killer.zip|Time killer|时间杀手
Dark pursuer.zip|Dark pursuer|暗之追迹者
Mummy hockey.zip|Mummy hockey|木乃伊曲棍球
Mech.zip|Mech|机甲争霸
Game big challenge 1.zip|Game big challenge 1|游戏大挑战1
Slam dunk.zip|Slam dunk|灌篮高手
Mars Escaper.zip|Mars Escaper|火星逃脱者
ball.zip|ball|球
Crazy Mickey Mouse.zip|Crazy Mickey Mouse|疯狂米老鼠
Crazy event (Q version).zip|Crazy event (Q version)|疯狂赛事(Q版)
Real monster.zip|Real monster|真实怪物
True lie (Devil's Emperor).zip|True lie (Devil's Emperor)|真实谎言(魔鬼大帝)
Clay warrior.zip|Clay warrior|粘土战士
John Madden Football 98.zip|John Madden Football 98|约翰麦登橄榄球98
Virtual Bart Simpson.zip|Virtual Bart Simpson|虚拟巴特
Crayon Shinchan.zip|Crayon Shinchan|蜡笔小新
Observation Point.zip|Observation Point|观察点
Time warrior.zip|Time warrior|超时空战警
Super King Kong 99.zip|Super King Kong 99|超级大金刚99
The more the mad dragon.zip|The more the mad dragon|越空狂龙
Urban attack.zip|Urban attack|都市攻击
Asterix - Big Rescue.zip|Asterix - Big Rescue|阿斯特瑞克斯-大救援
Adams family.zip|Adams family|阿达姆斯家庭
Trap - Mayan Adventure.zip|Trap - Mayan Adventure|陷阱-玛雅冒险
No. 0 special police.zip|No. 0 special police|零号特警
Humerus.zip|Humerus|骸骨
Demon Master.zip|Demon Master|魔界大法师
Rugby World Football 95.zip|Rugby World Football 95|鲁格比世界足球95
Black water pirate.zip|Black water pirate|黑水海盗
Seven-up kid.zip|Seven-up kid|七喜小子
Warehouse.zip|Warehouse|仓库番
