Super King Kong 1.zip|Super King Kong 1|超级大金刚 1
Dragon Quest 1+2.zip|Dragon Quest 1+2|勇者斗恶龙 1+2
Dragon Quest 3.zip|Dragon Quest 3|勇者斗恶龙 3
Dragon Quest - Monster Wonderland.zip|Dragon Quest - Monster Wonderland|勇者斗恶龙-怪兽仙境
Dragon Quest - Monster Wonderland 2 - Il's Adventure.zip|Dragon Quest - Monster Wonderland 2 - Il's Adventure|勇者斗恶龙-怪兽仙境2-伊尔的冒险
Ranch boy 2.zip|Ranch boy 2|牧场男孩 2
Ranch boy 3.zip|Ranch boy 3|牧场男孩 3
Wario Continental 2.zip|Wario Continental 2|瓦里奥大陆 2
Wario Continental 3.zip|Wario Continental 3|瓦里奥大陆 3
The legend of Salda - the chapter of time and space.zip|The legend of Zelda - the chapter of time and space|萨尔达传说-时空之章
The Legend of Salda - The Chapter of the Earth.zip|The Legend of Zelda - The Chapter of the Earth|萨尔达传说-大地之章
Fingerwheel magic.zip|Fingerwheel magic|指轮魔境传
Rockman.zip|Rockman|洛克人
Rockman 2.zip|Rockman 2|洛克人 2
Biochemical Commander - Ultimate Force.zip|Biochemical Commander - Ultimate Force|生化指挥官-究极武力
FIFA Football 2000.zip|FIFA Football 2000|FIFA足球 2000
Metal Gear.zip|Metal Gear|合金装备
X-Men-Special Function Group.zip|X-Men-Special Function Group|X战警-特异功能组
X-Men - Wolverine.zip|X-Men - Wolverine|X战警-金刚狼
Off-road locomotive.zip|Off-road locomotive|越野机车
Toy Story 2.zip|Toy Story 2|玩具总动员2
Bombing Superman MAX-Light Brave.zip|Bombing Superman MAX-Light Brave|轰炸超人MAX-光之勇者
Bomb Superman MAX-Ain Edition.zip|Bomb Superman MAX-Ain Edition|炸弹超人MAX-艾因版
Bomber legend.zip|Bomber legend|炸弹人传说
Crazy locomotive race 2.zip|Crazy locomotive race 2|疯狂机车赛 2
Tetris DX.zip|Tetris DX|俄罗斯方块DX
Disney Star Suite.zip|Disney Star Suite|迪斯尼明星组曲
Warner Star Suite - Martian Elba.zip|Warner Star Suite - Martian Elba|华纳明星组曲-火星人艾尔巴
Warner Star Grand Prix.zip|Warner Star Grand Prix|华纳明星大赛车
Dinosaur Hunter 1 - Battle of Fury.zip|Dinosaur Hunter 1 - Battle of Fury|恐龙猎人1-愤怒之战
Dinosaur Hunter 2 - Evil Seeds.zip|Dinosaur Hunter 2 - Evil Seeds|恐龙猎人2-邪恶的种子
Dinosaur Hunter 3 - Shadow in the dark.zip|Dinosaur Hunter 3 - Shadow in the dark|恐龙猎人3-在暗处的影子
Bugs crisis.zip|Bugs crisis|虫虫危机
Mobile unit.zip|Mobile unit|机动部队
Alice in Wonderland.zip|Alice in Wonderland|爱丽丝梦游仙境
Alien encounter.zip|Alien encounter|异形遭遇战
National Star Baseball 2001.zip|National Star Baseball 2001|全美明星棒球2001
National Star Tennis Tournament 2000.zip|National Star Tennis Tournament 2000|全美明星网球赛2000
Haunted House Shadow 4.zip|Haunted House Shadow 4|鬼屋魔影4
Transfiguration.zip|Transfiguration|变身战士
Toy soldier 2.zip|Toy soldier 2|玩具军人 2
Toy Soldier - Air Combat.zip|Toy Soldier - Air Combat|玩具军人-空战追击
Toy Soldier - Heroes Invincible 2.zip|Toy Soldier - Heroes Invincible 2|玩具军人-英雄无敌 2
Beautiful New World - Seeking Independence.zip|Beautiful New World - Seeking Independence|美丽新世界-寻求独立
Atlantis - The Lost Empire.zip|Atlantis - The Lost Empire|亚特兰帝斯-失落的帝国
Tower of the Magic 3.zip|Tower of the Magic 3|魔物之塔 3
Barbie - Pet Rescue.zip|Barbie - Pet Rescue|芭比-宠物大营救
Batman in New York.zip|Batman in New York|蝙蝠侠在纽约
Batman - The Return of the Clown.zip|Batman - The Return of the Clown|蝙蝠侠-小丑的回归
